,endTime,artistName,trackName,msPlayed
0,2022-12-01 06:52,Anirudh Ravichander,"Pathala Pathala (From ""Vikram"")",43753
1,2022-12-06 04:17,Anirudh Ravichander,"Jailer Announcement Theme (From ""Jailer"")",1000
2,2022-12-06 04:20,Anirudh Ravichander,"Jailer Announcement Theme (From ""Jailer"")",56990
3,2022-12-06 04:21,Kamal Eleven,Jailer x NTR 30 BGM,25290
4,2022-12-06 04:21,Anirudh Ravichander,VIP Theme,16328
5,2022-12-06 04:23,Anirudh Ravichander,"Petta Theme - From ""Petta""",106500
6,2022-12-06 04:30,Anirudh Ravichander,"Petta Theme - From ""Petta""",99353
7,2022-12-06 04:35,Silambarasan TR,"Thee Thalapathy (From ""Varisu"")",240022
8,2022-12-07 06:15,Yuvan Shankar Raja,Mamakutty,106677
9,2022-12-07 06:16,Yuvan Shankar Raja,Ennai Vittu - Yuvanshankar Raja Version,7828
10,2022-12-07 06:16,Yuvan Shankar Raja,Ennai Vittu,2464
11,2022-12-07 06:17,Yuvan Shankar Raja,Saachitale,44332
12,2022-12-07 12:49,Anirudh Ravichander,"Petta Theme - From ""Petta""",106500
13,2022-12-07 12:57,Anirudh Ravichander,"Petta Theme - From ""Petta""",90001
14,2022-12-08 04:32,Anirudh Ravichander,"Petta Theme - From ""Petta""",11170
15,2022-12-08 04:35,Rajesh Murugesan,Pistah,146933
16,2022-12-08 04:37,Rajesh Murugesan,Pistah,146933
17,2022-12-08 04:47,Rajesh Murugesan,Pistah,2894
18,2022-12-08 06:47,Akshay Verma,Rum Whisky,88056
19,2022-12-08 07:15,Anirudh Ravichander,Rise of Veera,4215
20,2022-12-08 07:15,Anirudh Ravichander,Disguise,2460
21,2022-12-08 07:16,Anirudh Ravichander,The Raw Agent,98500
22,2022-12-08 07:18,Anirudh Ravichander,The Raw Agent,0
23,2022-12-08 07:18,Anirudh Ravichander,The Raw Agent,98500
24,2022-12-08 07:20,Anirudh Ravichander,Rise of Veera,101640
25,2022-12-08 07:22,Anirudh Ravichander,Veeraraghavan,109490
26,2022-12-08 07:25,Anirudh Ravichander,Reverse Hijack,21272
27,2022-12-08 07:25,Kamal Haasan,Vikram Vikram,6559
28,2022-12-08 07:26,S. P. Balasubrahmanyam,Naan Pollathavan,19130
29,2022-12-08 07:30,Silambarasan TR,"Thee Thalapathy (From ""Varisu"")",245924
30,2022-12-09 04:13,Akshay Verma,Rum Whisky,25425
31,2022-12-09 04:26,Akshay Verma,Rum Whisky,154813
32,2022-12-09 10:59,Suresh Wadkar,Haathon Ki Chand Lakeeron Ka,665
